start,end,id,v,a,d,emotion,emo_evo,signal,transcription,path_to_wav
6.2901,8.2357,Ses01F_impro01_F000,2.5,2.5,2.5,neu,"[['neu'], ['neu'], ['neu'], ['neu']]",[-165 -163 -125 ... -104 -137 -146],Excuse me.,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
10.01,11.3925,Ses01F_impro01_F001,2.5,2.5,2.5,neu,"[['neu'], ['neu'], ['neu'], ['neu', 'ang']]",[-31 -23 -18 ... -42 -27 -12],Yeah.,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
14.8872,18.0175,Ses01F_impro01_F002,2.5,2.5,2.5,neu,"[['neu'], ['sur'], ['neu'], ['neu', 'ang']]",[-12  -5  14 ...  -6  29  41],Is there a problem?,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
27.46,31.49,Ses01F_impro01_F005,2.5,3.5,2.0,neu,"[['neu'], ['fru', 'ang'], ['neu'], ['neu']]",[-28 -41 -55 ...  90  77  57],Well what's the problem?  Let me change it.,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
85.27,88.02,Ses01F_impro01_F012,2.0,3.5,3.5,ang,"[['ang'], ['dis'], ['ang'], ['fru', 'sur', 'ang']]",[452 387 229 ... -20 -13  -6],That's out of control.,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
97.89,102.96,Ses01F_impro01_F014,2.5,3.5,3.5,neu,"[['neu'], ['dis'], ['neu'], ['fru', 'dis', 'ang']]",[  126    87    70 ... -1353 -2006 -2316],"Clearly.  You know, do you have like a supervisor or something?",/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
87.15,94.39,Ses01F_impro01_M011,2.0,4.0,4.0,ang,"[['ang'], ['dis', 'ang'], ['fru'], ['fru', 'ang']]",[ 83  92  98 ... 276 340 462],I don't understand why this is so complicated for people when they get here.  It's just a simple form.  I just need an ID.,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
101.84,107.87,Ses01F_impro01_M013,2.0,4.5,4.5,ang,"[['ang'], ['fru', 'ang'], ['ang'], ['ang']]",[ 592  907 1027 ...  -40  -77  -83],Yeah.  Do you want to see my supervisor?  Huh? Yeah.  Do you want to see my supervisor?  Fine.  I'll be right back.,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
7.2688,16.6,Ses01F_impro02_F000,2.5,2.0,1.5,sad,"[['sad'], ['sad', 'fea'], ['neu'], ['sad']]",[ 24  16  20 ...  72  89 100],Did you get the mail? So you saw my letter?,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
19.85,22.78,Ses01F_impro02_F001,2.0,1.5,1.5,sad,"[['sad'], ['sad'], ['neu'], ['sad']]",[-53 -54 -64 ... -51 -46 -50],Yeah.  I know.,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
26.5659,32.2895,Ses01F_impro02_F002,2.0,1.5,1.5,sad,"[['sad'], ['sad', 'oth'], ['neu'], ['fru', 'sad']]",[116 108  93 ... -55 -78 -90],I don't know.  I put in that. request too. They didn't...,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
32.3075,37.96,Ses01F_impro02_F003,2.0,2.0,2.0,neu,"[['sad'], ['neu', 'oth'], ['neu'], ['sad', 'fea']]",[-57 -53 -50 ... -97 -79 -54],"I guess, you know, everybody has to make sacrifices.",/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
47.34,53.11,Ses01F_impro02_F004,2.5,2.0,2.5,sad,"[['sad'], ['sad'], ['neu'], ['sad']]",[ 74  78  67 ...   7 -11  -1],"There's people that have given more though, you know?",/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
58.75,61.31,Ses01F_impro02_F005,2.0,2.0,2.5,sad,"[['sad'], ['sad'], ['neu'], ['sad']]",[ -34  -35  -62 ... -148 -150 -153],I know.,/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
64.255,68.47,Ses01F_impro02_F006,2.5,2.5,2.5,neu,"[['sad'], ['neu'], ['neu'], ['sad', 'ang']]",[148 133 105 ...  76  80  91],"There's babies over there, though, that need mothers.",/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
87.2031,91.09,Ses01F_impro02_F008,1.5,2.0,1.5,sad,"[['sad'], ['fru', 'sad', 'ang'], ['neu'], ['fru', 'sad']]",[ -36   -8   26 ...  -56  -85 -105],"Just, you know, kicking myself.",/Users/stella-yj/workspace/notebook/datasets/IEMOCAP_full_release/Session1/dialog/wav/
